Num of neighbors (K),Num processors,Num of points,Speed-Up,Efficency
15,2,32768,1.6251398312321583,0.8125699156160792
15,4,32768,3.987925504124909,0.9969813760312273
15,8,32768,7.298966523741119,0.9123708154676399
15,16,32768,13.184095148423989,0.8240059467764993
15,32,32768,25.596856739554443,0.7999017731110764
15,64,32768,41.85126940158113,0.6539260843997051
15,2,65536,1.6209975842647297,0.8104987921323649
15,4,65536,3.9666467280872246,0.9916616820218062
15,8,65536,7.562559486433329,0.9453199358041662
15,16,65536,13.648179608296848,0.853011225518553
15,32,65536,26.20658668345949,0.8189558338581091
15,64,65536,42.25943454177769,0.6603036647152765
20,2,1024,1.419283329503521,0.7096416647517605
20,4,1024,1.9469321911331146,0.48673304778327864
20,8,1024,3.5416736937970112,0.4427092117246264
20,16,1024,7.320899424786474,0.45755621404915464
20,32,1024,12.114918656974732,0.37859120803046037
