Num of neighbors (K),Num processors,Num of points,Speed-Up,Efficency
15,2,4096,0.931596513398788,0.465798256699394
15,4,4096,1.2224310788042851,0.3056077697010713
15,8,4096,2.532537602677883,0.3165672003347354
15,16,4096,3.7738119329027175,0.23586324580641985
15,32,4096,5.8814504168158335,0.1837953255254948
15,64,4096,4.783494862942472,0.07474210723347613
15,2,8192,1.242623598584303,0.6213117992921515
15,4,8192,2.6287396895250392,0.6571849223812598
15,8,8192,3.8131240047129116,0.47664050058911395
15,16,8192,6.4322370765251105,0.4020148172828194
15,32,8192,7.334550481758604,0.22920470255495637
15,64,8192,8.401050433500245,0.13126641302344133
15,2,16384,1.3221525429810164,0.6610762714905082
15,4,16384,2.8258432292559865,0.7064608073139966
15,8,16384,4.6360706113193375,0.5795088264149172
15,16,16384,6.296927029383709,0.3935579393364818
15,32,16384,10.11303858274599,0.3160324557108122
15,64,16384,14.131546839642404,0.22080541936941256
15,2,32768,1.327646996198671,0.6638234980993355
15,4,32768,2.9251137086212826,0.7312784271553207
15,8,32768,5.247526051367834,0.6559407564209793
15,16,32768,8.423351277985294,0.5264594548740809
15,32,32768,13.376027256810259,0.4180008517753206
15,64,32768,17.544694488524566,0.27413585138319635
15,2,65536,1.3223900965326605,0.6611950482663302
15,4,65536,2.9415927029948006,0.7353981757487001
15,8,65536,5.469320129175653,0.6836650161469566
15,16,65536,9.140640073007198,0.5712900045629499
15,32,65536,16.74920558066764,0.5234126743958637
15,64,65536,26.838763041277645,0.4193556725199632
20,2,1024,0.5504122587818275,0.27520612939091377
20,4,1024,0.9577993601900274,0.23944984004750686
20,8,1024,1.440175125295236,0.1800218906619045
20,16,1024,2.1537798836958864,0.1346112427309929
20,32,1024,3.197135366711427,0.09991048020973209
20,64,1024,2.1398613369853634,0.0334353333903963
20,2,2048,0.6832025659650056,0.3416012829825028
20,4,2048,1.0987994170579936,0.2746998542644984
20,8,2048,1.8052771100363907,0.22565963875454884
20,16,2048,2.7631942525559547,0.17269964078474717
20,32,2048,3.8974358974358974,0.12179487179487179
20,64,2048,2.5199273199909817,0.03937386437485909
20,2,4096,1.1149445934478421,0.5574722967239211
20,4,4096,1.7495899398578458,0.43739748496446146
20,8,4096,2.061324400927596,0.2576655501159495
20,16,4096,3.2144866196994455,0.20090541373121534
20,32,4096,5.07700118463361,0.1586562870198003
20,64,4096,3.986159169550173,0.06228373702422145
20,2,8192,1.2280251004846778,0.6140125502423389
20,4,8192,2.392257230427815,0.5980643076069537
20,8,8192,3.5101782722454433,0.4387722840306804
20,16,8192,4.857094630671346,0.30356841441695914
20,32,8192,6.494254197084494,0.20294544365889045
20,64,8192,8.494641146595818,0.13272876791555965
