Parallel time taken: 0.004965 seconds
Neighbor 5: Point 63 (Distance: 27.608191)
Neighbor 1: Point 3 (Distance: 5.392782)
Neighbor 2: Point 41 (Distance: 16.026340)
Neighbor 3: Point 46 (Distance: 16.551996)
Neighbor 4: Point 70 (Distance: 16.717232)
Neighbor 5: Point 64 (Distance: 18.803503)
Neighbor 1: Point 91 (Distance: 14.692108)
Neighbor 2: Point 15 (Distance: 15.665523)
Neighbor 3: Point 89 (Distance: 19.036167)
Neighbor 4: Point 25 (Distance: 19.057510)
Neighbor 5: Point 98 (Distance: 19.296179)
Neighbor 1: Point 99 (Distance: 4.471271)
Neighbor 2: Point 88 (Distance: 20.444040)
Neighbor 3: Point 74 (Distance: 22.705503)
Neighbor 4: Point 70 (Distance: 23.186644)
Neighbor 5: Point 66 (Distance: 24.357647)
Neighbor 1: Point 3 (Distance: 14.904999)
Neighbor 2: Point 38 (Distance: 16.026340)
Neighbor 3: Point 53 (Distance: 17.949343)
Neighbor 4: Point 23 (Distance: 19.216768)
Neighbor 5: Point 61 (Distance: 20.711992)
Neighbor 1: Point 85 (Distance: 19.463917)
Neighbor 2: Point 11 (Distance: 19.741735)
Neighbor 3: Point 57 (Distance: 25.578468)
Neighbor 4: Point 20 (Distance: 26.927765)
Neighbor 5: Point 18 (Distance: 29.053904)
Neighbor 1: Point 51 (Distance: 7.447425)
Neighbor 2: Point 79 (Distance: 11.968772)
Neighbor 3: Point 67 (Distance: 12.558289)
Neighbor 4: Point 34 (Distance: 22.330645)
Neighbor 5: Point 44 (Distance: 28.982233)
Neighbor 1: Point 76 (Distance: 20.430855)
Neighbor 2: Point 68 (Distance: 26.544813)
Neighbor 3: Point 43 (Distance: 28.982233)
Neighbor 4: Point 71 (Distance: 29.672998)
Neighbor 5: Point 51 (Distance: 31.948786)
Neighbor 1: Point 47 (Distance: 9.096424)
Neighbor 2: Point 81 (Distance: 13.162439)
Neighbor 3: Point 12 (Distance: 13.422717)
Neighbor 4: Point 8 (Distance: 13.883636)
Neighbor 5: Point 50 (Distance: 16.762348)
Neighbor 1: Point 3 (Distance: 16.347202)
Neighbor 2: Point 38 (Distance: 16.551996)
Neighbor 3: Point 17 (Distance: 16.966196)
Neighbor 4: Point 19 (Distance: 17.733784)
Neighbor 5: Point 29 (Distance: 19.780157)
Neighbor 1: Point 45 (Distance: 9.096424)
